Age Next Birthday,MediShield Life Premiums (Fully payable by Medisave),Additional Withdrawal Limits (AWLs),Income - Private,Income - A,Income - B,Income - Standard,AIA - Private,AIA - A,AIA - B,AIA - Standard,GE - Private,GE - A,GE - B,GE - Standard,HSBC - Private,HSBC - A,HSBC - Standard,Prudential - Private,Prudential - A,Prudential - Standard,Raffles - Private,Raffles - A,Raffles - B,Raffles - Standard,Singlife - Private,Singlife - A,Singlife - B,Singlife - Standard
1,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,231.16,75.38,50.94,30.56,173.20,79.50,40.70,300.00,75.38,41.77,197.63,74.36,57.05,39.73,194.00,87.60,71.31,46.86
2,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,227.86,75.38,50.94,30.56,173.20,79.50,40.70,300.00,75.38,41.77,197.63,74.36,57.05,39.73,195.00,87.60,71.31,46.86
3,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,223.48,75.38,50.94,30.56,173.20,79.50,40.70,294.00,75.38,41.77,197.63,74.36,57.05,39.73,196.00,87.60,71.31,46.86
4,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,220.20,74.36,49.91,30.56,176.20,79.50,40.70,290.00,75.38,41.77,197.63,74.36,57.05,39.73,197.00,87.60,71.31,46.86
5,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,216.91,74.36,49.91,30.56,176.20,79.50,40.70,286.00,75.38,41.77,197.63,74.36,57.05,39.73,198.00,87.60,71.31,46.86
6,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,212.53,73.35,49.91,30.56,176.20,79.50,40.70,280.00,68.25,41.77,197.63,79.46,57.05,39.73,199.00,87.60,71.31,46.86
7,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,209.24,73.35,49.91,30.56,176.20,79.50,40.70,276.00,68.25,41.77,197.63,79.46,57.05,39.73,200.00,87.60,71.31,46.86
8,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,205.96,73.35,48.90,30.56,176.20,79.50,40.70,272.00,68.25,41.77,197.63,79.46,57.05,39.73,202.00,87.60,71.31,46.86
9,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,202.67,71.31,48.90,30.56,176.20,79.50,40.70,268.00,68.25,41.77,197.63,79.46,57.05,39.73,204.00,87.60,71.31,46.86
10,147.71,300.00,219.00,41.00,27.00,35.00,281.00,103.90,69.26,Not available,229.05,71.31,48.90,30.56,176.20,79.50,40.70,257.00,68.25,41.77,197.63,79.46,57.05,39.73,207.00,87.60,71.31,46.86
